"","ATB_PositiveExposure.1","ATB_PositiveExposure.2","ATB_PositiveExposure.3","ATB_PositiveExposure.4","ATB_PositiveExposure.5","ATB_PositiveExposure.6","ATB_PositiveExposure.7","ATB_PositiveExposure.8","ATB_PositiveExposure.9","ATB_PositiveExposure.10","ATB_NegativeExposure.1","ATB_NegativeExposure.2","ATB_NegativeExposure.3","ATB_NegativeExposure.4","ATB_NegativeExposure.5","ATB_NegativeExposure.6","ATB_NegativeExposure.7","ATB_NegativeExposure.8","ATB_Trade.Offs.1","ATB_Trade.Offs.2","ATB_Trade.Offs.3","ATB_Trade.Offs.4","ATB_Trade.Offs.5","ATB_Trade.Offs.6","ATB_Nurturance.1","ATB_Nurturance.2","ATB_Nurturance.3","ATB_Nurturance.4","ATB_Nurturance.5","ATB_Nurturance.6","ATB_FemaleRoleBeliefs.1","ATB_FemaleRoleBeliefs.2","ATB_FemaleRoleBeliefs.3","ATB_FemaleRoleBeliefs.4","ABS_total_mean","ABS_total_sd","ABS_PositiveExp_mean","ABS_PositiveExp_sd","ABS_NegativeExp_mean","ABS_NegativeExp_sd","ABS_TradeOffs_mean","ABS_TradeOffs_sd","ABS_Nurturance_mean","ABS_Nurturance_sd","ABS_RoleBelief_mean","ABS_RoleBelief_sd"
"194",1,1,1,1,1,1,1,1,1,1,2,1,1,2,4,4,1,1,1,1,3,4,1,1,3,4,4,3,3,3,1,1,1,1,1.79411764705882,1.17497676997555,1,0,2,1.30930734141595,1.83333333333333,1.32916013582513,3.33333333333333,0.516397779494322,1,0
"195",1,1,1,1,1,1,1,1,1,1,3,1,1,4,4,4,3,2,1,3,3,4,4,1,5,3,5,4,4,4,1,1,1,1,2.26470588235294,1.462849513365,1,0,2.75,1.28173988892331,2.66666666666667,1.36626010212795,4.16666666666667,0.752772652709081,1,0
"196",4,3,4,4,4,4,3,3,3,2,3,4,2,1,3,3,3,4,2,2,4,3,2,2,4,3,4,3,3,3,1,2,1,4,2.94117647058824,0.951591218277217,3.4,0.699205898780101,2.875,0.991031208965115,2.5,0.836660026534076,3.33333333333333,0.516397779494322,2,1.4142135623731
"197",1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,4,4,5,3,3,3,4,4,3,3,3,4,2,2,2,1,1,1,1,2.47058823529412,1.4192463667575,1,0,4.25,0.462910049886276,3.33333333333333,0.516397779494322,2.66666666666667,0.816496580927726,1,0
"198",4,4,2,3,2,2,1,1,1,1,3,1,2,4,4,3,4,1,4,2,4,4,2,4,4,3,5,3,4,4,1,1,1,1,2.64705882352941,1.32304407817675,2.1,1.19721899973786,2.75,1.28173988892331,3.33333333333333,1.03279555898864,3.83333333333333,0.752772652709081,1,0
"199",5,5,2,5,5,2,2,1,5,5,3,1,1,1,5,5,1,1,2,3,5,4,3,4,5,5,5,5,5,5,4,1,1,2,3.35294117647059,1.70351424540968,3.7,1.70293863659264,2.25,1.83225076262581,3.5,1.04880884817015,5,0,2,1.4142135623731
"200",5,4,4,3,4,4,4,3,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,3,5,5,5,5,1,1,1,1,2.52941176470588,1.67395909072867,3.9,0.567646212197547,1,0,1.16666666666667,0.408248290463863,4.66666666666667,0.816496580927726,1,0
"201",3,2,2,3,2,4,2,2,2,2,4,1,3,3,4,4,3,2,5,5,5,5,2,3,4,4,4,4,4,4,1,1,1,1,2.97058823529412,1.29064921689416,2.4,0.699205898780101,3,1.0690449676497,4.16666666666667,1.32916013582513,4,0,1,0
"202",1,1,1,1,1,1,1,1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,1,4,3,1,1,3,1,1,1,1,2.76470588235294,1.85959955822055,1,0,4.625,0.517549169506766,5,0,2.16666666666667,1.32916013582513,1,0
"203",2,2,2,2,2,1,2,2,2,2,3,2,3,2,4,3,3,4,3,5,2,3,2,2,4,4,4,3,4,3,1,1,1,1,2.52941176470588,1.05127034604019,1.9,0.316227766016838,3,0.755928946018454,2.83333333333333,1.16904519445001,3.66666666666667,0.516397779494322,1,0
"204",2,1,1,1,3,2,1,1,1,2,4,3,3,5,5,5,3,4,2,4,4,5,3,4,3,4,2,1,1,3,2,2,2,2,2.67647058823529,1.34210572304718,1.5,0.707106781186548,4,0.925820099772551,3.66666666666667,1.03279555898864,2.33333333333333,1.211060141639,2,0
"205",4,2,2,5,5,3,3,3,4,4,2,1,2,3,4,3,1,4,3,4,4,2,3,2,5,4,5,3,5,5,2,1,1,1,3.08823529411765,1.33411296279755,3.5,1.08012344973464,2.5,1.19522860933439,3,0.894427190999916,4.5,0.836660026534076,1.25,0.5
"206",3,4,3,4,5,5,4,4,3,5,3,1,1,1,2,1,1,1,1,2,2,1,1,1,5,3,5,3,3,3,1,1,2,1,2.52941176470588,1.4819171472699,4,0.816496580927726,1.375,0.744023809142845,1.33333333333333,0.516397779494322,3.66666666666667,1.03279555898864,1.25,0.5
"207",2,2,2,2,2,2,2,2,2,2,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,4,5,5,1,1,1,1,3.44117647058824,1.59907504458592,2,0,4.75,0.707106781186548,5,0,4.16666666666667,0.983192080250175,1,0
